id,date,start_time,comp,round,dayofweek,venue,result,goals_for,goals_against,opponent,xg_for,xg_against,possession,attendance,captain,formation,referee,match_report,notes,team,goals,shots_total,shots_on_target,shots_on_target_pct,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_clean_sheets,gk_psxg,gk_psxg_net,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,2022-08-05,21:00 ,Ligue 1,Matchweek 1,Fri,Away,L,1,2,Lyon,1.2,1.5,33,"48,516",Vincent Marchetti,4-4-2,Benoît Bastien,47ab569b,,Ajaccio,1,7,3,42.9,0.0,0.0,17.2,0.0,1,1,1.2,0.4,0.06,-0.2,-0.4,5,2,4,80.0,0,2.3,0.3,1,1,0,0,2.0,13.0,15.4,18.0,4.0,55.6,43.4,4.0,75.0,52.3,5.0,2.0,40.0,1.0,15.2,236.0,327.0,72.2,4173.0,1660.0,118.0,132.0,89.4,89.0,125.0,71.2,26.0,64.0,40.6,0,0.3,4.0,18.0,4.0,0.0,25.0,288.0,39.0,9.0,2.0,47.0,4.0,6,3.0,3.0,0.0,0.0,198.0,46.0,83.0,116.0,160.0,21.0,20.0,4.0,0.0,13.0,16.0,4.0,10.0,8.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,20.0,13,10.0,6.0,4.0,6.0,13.0,46.2,7.0,173.0,44.0,25.4,47.0,83.0,43.0,11.0,1.0,0.0,10.0,15,,7.0,0.0,416.0,42.0,147.0,206.0,91.0,15.0,377.0,3.0,10.0,30.0,3.0,1.0,226.0,1509.0,764.0,25.0,7.0,4.0,8.0,10.0,293.0,236.0,80.5,25.0,6,1,1,17,9,0,1.0,1.0,0,67.0,10.0,13.0,43.5
1,2022-08-14,15:00 ,Ligue 1,Matchweek 2,Sun,Home,D,0,0,Lens,0.7,0.9,36,"9,070",Vincent Marchetti,4-4-2,Stéphanie Frappart,8b559e8f,,Ajaccio,0,9,2,22.2,0.0,0.0,18.3,0.0,0,0,0.7,0.7,0.08,-0.7,-0.7,3,0,3,100.0,1,0.5,0.5,0,0,0,0,7.0,18.0,38.9,21.0,3.0,52.4,41.0,8.0,87.5,58.0,12.0,0.0,0.0,1.0,13.6,222.0,309.0,71.8,4490.0,1933.0,93.0,112.0,83.0,85.0,100.0,85.0,37.0,77.0,48.1,0,0.2,7.0,17.0,3.0,2.0,18.0,262.0,47.0,19.0,0.0,48.0,7.0,7,1.0,1.0,0.0,0.0,166.0,39.0,104.0,109.0,142.0,18.0,18.0,5.0,1.0,6.0,10.0,10.0,14.0,8.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8,7.0,4.0,0.0,1.0,8.0,12.5,7.0,125.0,31.0,24.8,33.0,72.0,20.0,13.0,3.0,0.0,10.0,12,,21.0,0.0,416.0,57.0,173.0,183.0,88.0,15.0,371.0,9.0,12.0,75.0,9.0,1.0,242.0,1462.0,805.0,19.0,8.0,3.0,13.0,6.0,287.0,222.0,77.4,18.0,5,0,0,17,19,2,0.0,0.0,0,63.0,21.0,21.0,50.0
2,2022-08-21,17:05 ,Ligue 1,Matchweek 3,Sun,Away,L,1,2,Rennes,1.4,1.2,44,"27,592",Vincent Marchetti,4-4-2,Hakim Ben El Hadj Salem,9befca9a,,Ajaccio,1,9,2,22.2,0.11,0.5,17.3,0.0,0,1,1.4,0.6,0.06,-0.4,0.4,7,2,5,71.4,0,2.0,0.0,0,0,0,0,3.0,17.0,17.6,25.0,3.0,56.0,42.2,6.0,50.0,44.0,6.0,0.0,0.0,0.0,10.3,303.0,426.0,71.1,5874.0,1863.0,122.0,141.0,86.5,122.0,157.0,77.7,51.0,103.0,49.5,1,0.5,7.0,15.0,4.0,2.0,21.0,375.0,51.0,15.0,1.0,68.0,10.0,9,8.0,2.0,5.0,1.0,242.0,66.0,118.0,144.0,217.0,19.0,18.0,8.0,1.0,13.0,8.0,14.0,11.0,4.0,4.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,10,11.0,4.0,0.0,8.0,21.0,38.1,13.0,169.0,57.0,33.7,60.0,85.0,24.0,11.0,2.0,0.0,9.0,18,,22.0,0.0,535.0,61.0,196.0,259.0,101.0,14.0,484.0,8.0,15.0,53.3,10.0,1.0,288.0,1209.0,640.0,27.0,5.0,1.0,13.0,13.0,384.0,303.0,78.9,21.0,2,0,0,16,13,1,1.0,0.0,0,97.0,28.0,38.0,42.4
3,2022-08-26,21:00 ,Ligue 1,Matchweek 4,Fri,Home,L,1,3,Lille,1.0,1.3,43,"9,070",Vincent Marchetti,4-4-2,Thomas Léonard,d8aa49d4,,Ajaccio,1,14,2,14.3,0.07,0.5,15.7,0.0,0,0,1.0,1.0,0.07,0.0,0.0,4,3,1,25.0,0,2.2,-0.8,1,0,0,1,7.0,16.0,43.8,18.0,1.0,72.2,52.6,4.0,75.0,45.5,10.0,1.0,10.0,1.0,16.0,285.0,395.0,72.2,5614.0,2010.0,117.0,147.0,79.6,112.0,137.0,81.8,45.0,86.0,52.3,0,0.8,10.0,22.0,4.0,2.0,22.0,337.0,58.0,16.0,1.0,51.0,13.0,16,6.0,4.0,2.0,0.0,232.0,56.0,107.0,124.0,205.0,20.0,28.0,2.0,2.0,14.0,7.0,20.0,20.0,11.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,13,10.0,4.0,2.0,8.0,26.0,30.8,18.0,157.0,49.0,31.2,54.0,63.0,40.0,11.0,1.0,0.0,10.0,16,,7.0,0.0,486.0,38.0,124.0,225.0,162.0,25.0,429.0,12.0,15.0,80.0,12.0,0.0,287.0,1588.0,804.0,30.0,8.0,3.0,13.0,10.0,336.0,285.0,84.8,22.0,3,0,0,15,13,2,0.0,1.0,0,80.0,23.0,23.0,50.0
4,2022-08-31,19:00 ,Ligue 1,Matchweek 5,Wed,Away,L,0,2,Montpellier,1.2,1.5,62,"10,051",Vincent Marchetti,4-4-2,Bastien Dechepy,f80ee3a3,,Ajaccio,0,15,0,0.0,0.0,,15.2,1.0,0,0,1.2,1.2,0.08,-1.2,-1.2,4,2,2,50.0,0,2.2,0.2,0,0,0,0,2.0,5.0,40.0,15.0,5.0,6.7,22.9,9.0,44.4,37.3,4.0,0.0,0.0,2.0,19.0,449.0,550.0,81.6,8498.0,3072.0,187.0,214.0,87.4,192.0,216.0,88.9,61.0,103.0,59.2,0,0.9,12.0,37.0,8.0,2.0,39.0,496.0,54.0,9.0,0.0,50.0,15.0,19,8.0,3.0,5.0,0.0,364.0,68.0,118.0,89.0,385.0,29.0,25.0,8.0,1.0,11.0,11.0,10.0,25.0,15.0,6.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6,6.0,3.0,3.0,3.0,8.0,37.5,5.0,70.0,20.0,28.6,17.0,37.0,16.0,10.0,3.0,0.0,7.0,3,,12.0,0.0,641.0,43.0,123.0,334.0,212.0,24.0,587.0,4.0,6.0,66.7,5.0,1.0,380.0,1817.0,901.0,41.0,14.0,2.0,9.0,15.0,492.0,449.0,91.3,39.0,4,1,1,18,10,1,0.0,0.0,0,85.0,22.0,20.0,52.4
5,2022-09-04,15:00 ,Ligue 1,Matchweek 6,Sun,Home,L,0,1,Lorient,0.8,0.6,59,"7,000",Riad Nouri,4-4-2,Jeremy Stinat,ae60a120,,Ajaccio,0,16,3,18.8,0.0,0.0,20.6,2.0,0,0,0.8,0.8,0.05,-0.8,-0.8,4,1,3,75.0,0,0.5,-0.5,0,0,0,0,5.0,10.0,50.0,17.0,2.0,35.3,31.9,5.0,80.0,53.0,5.0,1.0,20.0,3.0,21.1,391.0,502.0,77.9,7781.0,2684.0,158.0,177.0,89.3,151.0,192.0,78.6,70.0,110.0,63.6,0,0.6,13.0,43.0,10.0,5.0,44.0,455.0,47.0,12.0,0.0,54.0,20.0,29,3.0,2.0,1.0,0.0,298.0,66.0,138.0,134.0,299.0,24.0,25.0,3.0,5.0,12.0,9.0,11.0,27.0,20.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4,5.0,6.0,2.0,5.0,12.0,41.7,7.0,124.0,38.0,30.6,27.0,69.0,28.0,8.0,2.0,0.0,6.0,15,,23.0,0.0,622.0,38.0,146.0,304.0,212.0,24.0,574.0,6.0,8.0,75.0,6.0,0.0,393.0,2229.0,1148.0,56.0,14.0,2.0,13.0,19.0,491.0,391.0,79.6,44.0,4,0,0,17,13,4,0.0,0.0,0,107.0,25.0,31.0,44.6
6,2022-09-11,15:00 ,Ligue 1,Matchweek 7,Sun,Home,L,0,1,Nice,0.5,1.0,44,"7,068",Mathieu Coutadeur,4-4-2,Eric Wattellier,e7c831c2,,Ajaccio,0,9,3,33.3,0.0,0.0,17.4,0.0,0,0,0.5,0.5,0.05,-0.5,-0.5,3,1,2,66.7,0,0.7,-0.3,0,0,0,0,6.0,21.0,28.6,23.0,2.0,69.6,50.0,5.0,100.0,62.0,6.0,0.0,0.0,0.0,11.0,314.0,427.0,73.5,6039.0,2506.0,134.0,158.0,84.8,121.0,139.0,87.1,53.0,107.0,49.5,0,0.4,7.0,34.0,10.0,2.0,37.0,372.0,55.0,12.0,0.0,42.0,5.0,8,2.0,0.0,2.0,0.0,241.0,64.0,122.0,96.0,269.0,12.0,34.0,4.0,3.0,10.0,9.0,15.0,14.0,11.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,22,11.0,10.0,5.0,10.0,24.0,41.7,14.0,153.0,52.0,34.0,38.0,72.0,43.0,9.0,2.0,0.0,7.0,8,,23.0,1.0,531.0,42.0,161.0,264.0,133.0,20.0,476.0,6.0,16.0,37.5,6.0,0.0,303.0,1618.0,848.0,29.0,8.0,4.0,16.0,4.0,382.0,314.0,82.2,37.0,1,0,0,10,10,3,0.0,0.0,0,86.0,18.0,24.0,42.9
7,2022-09-18,15:00 ,Ligue 1,Matchweek 8,Sun,Away,W,1,0,Brest,0.6,0.7,41,"11,153",Mathieu Coutadeur,4-4-2,Stéphanie Frappart,1051ac4c,,Ajaccio,1,6,3,50.0,0.17,0.33,16.5,0.0,0,0,0.6,0.6,0.09,0.4,0.4,4,0,4,100.0,2,0.3,0.3,0,0,0,0,7.0,27.0,25.9,26.0,2.0,73.1,48.7,8.0,100.0,59.9,20.0,2.0,10.0,0.0,11.5,253.0,380.0,66.6,4446.0,1743.0,133.0,168.0,79.2,80.0,107.0,74.8,35.0,89.0,39.3,1,0.5,5.0,10.0,4.0,2.0,13.0,333.0,47.0,15.0,0.0,59.0,4.0,3,2.0,0.0,2.0,0.0,213.0,59.0,108.0,103.0,207.0,22.0,21.0,3.0,0.0,14.0,15.0,13.0,10.0,8.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,11,7.0,13.0,1.0,6.0,12.0,50.0,6.0,143.0,40.0,28.0,37.0,73.0,33.0,12.0,2.0,0.0,10.0,22,,29.0,1.0,514.0,68.0,198.0,266.0,66.0,5.0,467.0,8.0,15.0,53.3,9.0,2.0,294.0,1129.0,499.0,15.0,5.0,1.0,16.0,12.0,297.0,253.0,85.2,13.0,2,0,0,14,13,0,0.0,0.0,0,104.0,25.0,35.0,41.7
8,2022-10-02,15:00 ,Ligue 1,Matchweek 9,Sun,Home,L,1,3,Clermont Foot,,,52,,Mathieu Coutadeur,4-4-2,Clément Turpin,eaedf3ff,,Ajaccio,1,12,3,25.0,0.08,0.33,,,0,0,,,,,,3,3,0,0.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,13,9,0,,,0,,,,
9,2022-08-07,15:00 ,Ligue 1,Matchweek 1,Sun,Home,D,0,0,Nantes,2.0,1.5,50,"12,000",Pierrick Capelle,4-2-3-1,Hakim Ben El Hadj Salem,136d5cbe,,Angers,0,16,6,37.5,0.0,0.0,15.8,0.0,0,0,2.0,2.0,0.14,-2.0,-2.0,4,0,4,100.0,1,0.6,0.6,0,0,0,0,9.0,27.0,33.3,24.0,7.0,70.8,52.1,11.0,90.9,59.5,9.0,1.0,11.1,0.0,13.4,317.0,411.0,77.1,5998.0,2697.0,131.0,152.0,86.2,129.0,158.0,81.6,43.0,79.0,54.4,0,1.0,12.0,25.0,11.0,3.0,34.0,361.0,50.0,16.0,2.0,44.0,9.0,14,3.0,2.0,1.0,0.0,254.0,51.0,106.0,125.0,212.0,31.0,19.0,10.0,1.0,3.0,10.0,8.0,24.0,19.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,10,7.0,10.0,2.0,6.0,12.0,50.0,6.0,88.0,34.0,38.6,32.0,41.0,15.0,18.0,4.0,1.0,14.0,11,,19.0,0.0,541.0,65.0,187.0,243.0,161.0,30.0,493.0,9.0,21.0,42.9,9.0,0.0,338.0,1824.0,1094.0,45.0,18.0,5.0,14.0,14.0,359.0,317.0,88.3,34.0,3,0,0,15,12,1,0.0,0.0,0,96.0,15.0,25.0,37.5
10,2022-08-14,15:00 ,Ligue 1,Matchweek 2,Sun,Away,D,2,2,Auxerre,1.6,0.8,60,"15,577",Souleyman Doumbia,4-2-3-1,Ruddy Buquet,f5a2eb8d,,Angers,2,11,2,18.2,0.18,1.0,14.4,1.0,0,0,1.6,1.6,0.14,0.4,0.4,4,2,3,50.0,0,0.8,-0.2,0,0,0,0,2.0,6.0,33.3,15.0,4.0,26.7,32.2,9.0,22.2,31.2,5.0,0.0,0.0,0.0,6.5,459.0,554.0,82.9,8637.0,2972.0,185.0,214.0,86.4,211.0,238.0,88.7,51.0,83.0,61.4,2,1.4,8.0,55.0,14.0,4.0,56.0,504.0,50.0,10.0,1.0,53.0,13.0,18,5.0,5.0,0.0,0.0,393.0,59.0,102.0,165.0,321.0,25.0,23.0,5.0,0.0,9.0,8.0,10.0,16.0,12.0,2.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,3,2.0,5.0,1.0,3.0,15.0,20.0,12.0,112.0,25.0,22.3,23.0,48.0,41.0,10.0,1.0,0.0,9.0,6,,13.0,0.0,649.0,47.0,151.0,327.0,204.0,30.0,599.0,9.0,20.0,45.0,11.0,2.0,404.0,1841.0,1030.0,46.0,12.0,3.0,16.0,12.0,500.0,459.0,91.8,56.0,3,0,0,16,10,0,0.0,0.0,1,89.0,21.0,18.0,53.8
11,2022-08-21,15:00 ,Ligue 1,Matchweek 3,Sun,Home,L,1,3,Brest,0.8,1.8,50,"8,735",Pierrick Capelle,4-2-3-1,Jérôme Brisard,2bc4aa01,,Angers,1,8,5,62.5,0.13,0.2,20.3,3.0,0,0,0.8,0.8,0.1,0.2,0.2,7,3,4,57.1,0,2.7,-0.3,0,0,0,0,3.0,6.0,50.0,14.0,7.0,28.6,30.8,9.0,22.2,25.1,9.0,2.0,22.2,0.0,10.3,459.0,537.0,85.5,8691.0,2647.0,168.0,191.0,88.0,227.0,249.0,91.2,57.0,81.0,70.4,1,0.3,3.0,35.0,3.0,1.0,34.0,492.0,45.0,11.0,0.0,70.0,9.0,4,2.0,1.0,0.0,0.0,428.0,51.0,58.0,102.0,392.0,12.0,19.0,8.0,2.0,10.0,13.0,8.0,12.0,6.0,1.0,1.0,0.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,17.0,13,8.0,8.0,1.0,5.0,18.0,27.8,13.0,131.0,42.0,32.1,34.0,59.0,38.0,17.0,2.0,0.0,15.0,12,,14.0,0.0,654.0,51.0,196.0,363.0,138.0,12.0,610.0,10.0,20.0,50.0,11.0,1.0,465.0,2282.0,1128.0,37.0,11.0,2.0,17.0,10.0,516.0,459.0,89.0,34.0,2,1,0,10,10,4,0.0,0.0,0,72.0,8.0,13.0,38.1
12,2022-08-28,15:00 ,Ligue 1,Matchweek 4,Sun,Away,L,1,3,Troyes,0.7,1.5,51,"6,673",Pierrick Capelle,3-5-2,Stéphanie Frappart,ccccf547,,Angers,1,7,2,28.6,0.14,0.5,16.5,0.0,0,0,0.7,0.7,0.1,0.3,0.3,10,3,7,70.0,0,1.7,-1.3,0,0,0,0,4.0,13.0,30.8,35.0,8.0,31.4,29.6,10.0,20.0,25.9,13.0,4.0,30.8,0.0,10.7,496.0,585.0,84.8,9092.0,2799.0,202.0,224.0,90.2,243.0,270.0,90.0,44.0,72.0,61.1,1,0.4,6.0,32.0,5.0,0.0,36.0,538.0,47.0,11.0,4.0,80.0,7.0,7,3.0,2.0,0.0,0.0,480.0,48.0,57.0,176.0,365.0,13.0,17.0,10.0,1.0,5.0,19.0,11.0,12.0,11.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,6,7.0,2.0,0.0,4.0,14.0,28.6,10.0,115.0,25.0,21.7,38.0,51.0,26.0,13.0,2.0,0.0,11.0,10,,16.0,0.0,683.0,98.0,259.0,363.0,102.0,13.0,637.0,14.0,28.0,50.0,19.0,2.0,470.0,2407.0,1257.0,48.0,7.0,3.0,6.0,10.0,557.0,496.0,89.0,36.0,3,1,1,12,9,1,0.0,0.0,0,72.0,5.0,13.0,27.8
13,2022-08-31,19:00 ,Ligue 1,Matchweek 5,Wed,Home,L,2,4,Reims,1.5,2.3,57,"6,500",Nabil Bentaleb,3-5-2,Jérémie Pignard,d94a7d75,,Angers,2,9,2,22.2,0.11,0.5,18.3,1.0,1,1,1.5,0.7,0.08,0.5,0.3,4,4,1,25.0,0,2.7,-1.3,1,1,0,0,0.0,7.0,0.0,17.0,5.0,35.3,32.0,7.0,14.3,30.1,2.0,0.0,0.0,1.0,15.7,415.0,517.0,80.3,7509.0,2385.0,186.0,204.0,91.2,161.0,188.0,85.6,55.0,94.0,58.5,1,0.6,7.0,23.0,4.0,1.0,34.0,456.0,61.0,17.0,0.0,62.0,17.0,10,4.0,2.0,1.0,0.0,370.0,68.0,79.0,143.0,314.0,13.0,28.0,8.0,3.0,13.0,27.0,12.0,18.0,11.0,1.0,3.0,0.0,3.0,0.0,4.0,0.0,1.0,1.0,0.0,2.0,0.0,17.0,7,8.0,7.0,2.0,8.0,23.0,34.8,15.0,136.0,40.0,29.4,43.0,68.0,25.0,17.0,2.0,0.0,15.0,16,,14.0,0.0,645.0,44.0,204.0,345.0,157.0,16.0,586.0,13.0,21.0,61.9,14.0,0.0,385.0,2371.0,1211.0,53.0,24.0,2.0,27.0,9.0,470.0,415.0,88.3,34.0,1,0,0,11,16,3,1.0,1.0,0,94.0,20.0,10.0,66.7
14,2022-09-03,19:00 ,Ligue 1,Matchweek 6,Sat,Away,L,0,5,Lyon,0.7,1.6,37,"39,586",Nabil Bentaleb,3-5-2,Thomas Léonard,fb645562,,Angers,0,8,3,37.5,0.0,0.0,17.8,1.0,0,0,0.7,0.7,0.09,-0.7,-0.7,9,5,4,44.4,0,2.9,-2.1,0,0,0,0,10.0,19.0,52.6,19.0,2.0,73.7,48.1,7.0,71.4,51.1,15.0,2.0,13.3,0.0,8.4,254.0,327.0,77.7,4761.0,2073.0,115.0,133.0,86.5,97.0,120.0,80.8,34.0,56.0,60.7,0,0.6,5.0,24.0,6.0,2.0,25.0,283.0,44.0,11.0,0.0,66.0,9.0,6,3.0,3.0,0.0,0.0,210.0,54.0,63.0,109.0,155.0,21.0,17.0,5.0,0.0,8.0,6.0,9.0,13.0,8.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,11,6.0,12.0,3.0,9.0,15.0,60.0,6.0,132.0,36.0,27.3,41.0,61.0,30.0,12.0,1.0,0.0,11.0,18,,22.0,2.0,456.0,58.0,150.0,239.0,98.0,14.0,411.0,13.0,19.0,68.4,15.0,1.0,240.0,1337.0,743.0,36.0,10.0,3.0,15.0,12.0,306.0,254.0,83.0,25.0,1,0,0,10,6,0,0.0,0.0,0,66.0,18.0,16.0,52.9
15,2022-09-11,15:00 ,Ligue 1,Matchweek 7,Sun,Home,W,2,1,Montpellier,2.4,0.7,45,"6,165",Nabil Bentaleb,4-2-3-1,François Letexier,37884357,,Angers,2,10,3,30.0,0.1,0.33,12.5,0.0,1,1,2.4,1.6,0.17,-0.4,-0.6,2,1,1,50.0,0,1.2,0.2,0,0,0,0,6.0,13.0,46.2,20.0,3.0,45.0,33.8,7.0,57.1,46.6,9.0,2.0,22.2,1.0,14.3,320.0,422.0,75.8,5967.0,2110.0,135.0,165.0,81.8,135.0,162.0,83.3,41.0,80.0,51.3,0,0.6,5.0,21.0,4.0,2.0,27.0,376.0,46.0,12.0,2.0,61.0,13.0,13,2.0,2.0,0.0,0.0,276.0,63.0,83.0,106.0,255.0,22.0,23.0,6.0,2.0,17.0,14.0,6.0,15.0,9.0,0.0,0.0,3.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,25.0,15,14.0,10.0,1.0,7.0,12.0,58.3,5.0,212.0,68.0,32.1,57.0,104.0,51.0,9.0,1.0,0.0,8.0,14,,19.0,0.0,536.0,50.0,185.0,252.0,129.0,19.0,489.0,5.0,16.0,31.3,6.0,1.0,302.0,1779.0,1098.0,41.0,9.0,7.0,12.0,9.0,386.0,320.0,82.9,27.0,2,0,0,17,15,2,1.0,0.0,0,85.0,14.0,17.0,45.2
16,2022-09-18,15:00 ,Ligue 1,Matchweek 8,Sun,Away,W,1,0,Nice,1.7,0.8,51,"18,545",Nabil Bentaleb,4-2-3-1,Bastien Dechepy,58f908b1,,Angers,1,16,3,18.8,0.06,0.33,16.2,1.0,0,0,1.7,1.7,0.12,-0.7,-0.7,5,0,4,100.0,1,0.3,0.3,0,0,0,0,5.0,11.0,45.5,19.0,7.0,36.8,41.2,7.0,57.1,40.0,8.0,0.0,0.0,1.0,15.8,396.0,469.0,84.4,7339.0,2548.0,184.0,206.0,89.3,139.0,161.0,86.3,59.0,78.0,75.6,0,1.3,13.0,28.0,8.0,1.0,32.0,428.0,41.0,9.0,0.0,36.0,10.0,11,4.0,3.0,0.0,0.0,364.0,50.0,55.0,130.0,291.0,9.0,20.0,11.0,1.0,9.0,12.0,11.0,26.0,22.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7,8.0,1.0,2.0,3.0,10.0,30.0,7.0,129.0,42.0,32.6,26.0,47.0,56.0,18.0,4.0,0.0,14.0,6,,16.0,0.0,572.0,57.0,146.0,268.0,191.0,36.0,530.0,12.0,18.0,66.7,12.0,1.0,386.0,2409.0,1493.0,61.0,15.0,12.0,10.0,18.0,439.0,396.0,90.2,32.0,4,1,1,14,10,1,0.0,0.0,0,71.0,10.0,10.0,50.0
17,2022-09-30,21:00 ,Ligue 1,Matchweek 9,Fri,Home,L,0,3,Marseille,1.5,1.5,44,,Nabil Bentaleb,4-4-2,Johan Hamel,3c6ebbba,,Angers,0,16,5,31.3,0.0,0.0,18.3,1.0,0,0,1.5,1.5,0.09,-1.5,-1.5,7,3,4,57.1,0,2.7,-0.3,0,0,0,0,3.0,21.0,14.3,33.0,5.0,42.4,36.8,9.0,77.8,59.1,7.0,0.0,0.0,0.0,8.8,333.0,415.0,80.2,6229.0,2130.0,144.0,167.0,86.2,134.0,149.0,89.9,45.0,81.0,55.6,0,1.3,13.0,17.0,3.0,1.0,21.0,363.0,52.0,13.0,1.0,60.0,9.0,6,6.0,3.0,0.0,1.0,305.0,39.0,71.0,112.0,255.0,10.0,20.0,8.0,1.0,9.0,23.0,3.0,24.0,20.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,12,8.0,7.0,2.0,4.0,12.0,33.3,8.0,117.0,36.0,30.8,43.0,41.0,33.0,15.0,3.0,0.0,12.0,15,,5.0,0.0,512.0,71.0,191.0,240.0,111.0,16.0,463.0,13.0,24.0,54.2,14.0,0.0,343.0,1791.0,1036.0,39.0,12.0,6.0,13.0,9.0,367.0,333.0,90.7,21.0,0,0,0,12,14,1,0.0,0.0,0,72.0,10.0,11.0,47.6
